,intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,interlinear_spacing,weight,peak_number,modular_ratio/interlinear_spacing,label
45.0,0.204355,-0.275537,0.360101,-0.278884,0.261718,-0.515608,0.333428,0.481559,0.344717,-0.529123,A
46.0,0.31545,-0.236281,0.37077,0.812174,0.261718,0.14879,0.408929,0.690469,-0.123005,0.029367,A
47.0,-0.042522,-0.322644,0.310311,0.287293,0.261718,0.06574,0.333428,0.205842,-0.123005,0.005293,F
48.0,0.09326,0.329004,0.271191,-0.813522,0.17234,1.43606,-2.497853,-0.345808,-0.029461,-0.857071,A
49.0,-3.498799,-0.110662,7.419561,2.021451,-4.922215,-0.307984,-0.950086,1.491627,0.812439,0.428428,I
50.0,0.401857,-0.220579,-3.210528,-1.185513,-1.168333,-1.138481,0.295677,-0.318511,-0.65309,-1.064166,A
51.0,0.216699,-0.291239,0.349432,0.50711,0.261718,-0.307984,0.333428,0.639251,0.18881,-0.340545,A
52.0,1.019049,0.211237,-0.155578,-0.311855,0.261718,0.743979,1.252022,-1.896672,-2.077044,0.07848,A
53.0,-0.054866,-0.220579,0.466793,-0.21697,0.17234,1.020811,0.52218,0.033336,0.032902,0.726153,D
54.0,0.994361,-0.008597,-0.148465,0.826884,0.261718,0.979286,0.748682,0.271912,-0.310094,0.562867,A
55.0,-0.030178,-0.063555,0.285416,-1.278877,0.17234,-0.391033,0.069175,-2.025183,-2.212163,-0.258811,F
56.0,0.192011,-0.251983,0.33165,0.296423,0.261718,-0.557133,0.257927,0.429973,0.064084,-0.519889,A
57.0,0.019197,-0.016448,0.324537,-0.20781,0.261718,-1.180006,-0.572582,-0.991254,0.126447,-0.693374,H
58.0,-0.00549,0.611647,0.022242,1.012179,0.261718,1.394535,0.710932,-0.085215,-0.154186,0.951102,A
59.0,-0.030178,-0.189174,0.242739,-0.408799,0.261718,0.024215,-0.044076,-2.180836,-1.183175,0.197994,F
60.0,-0.22768,-0.110662,0.196506,1.060099,0.261718,0.522513,0.673182,1.055945,1.529613,0.255111,X
61.0,-0.301743,0.352558,0.288973,1.638181,0.261718,0.14879,0.144676,1.764976,0.874802,0.182612,E
62.0,-0.351118,-0.244132,0.594823,1.592678,0.797987,0.605563,-0.534832,1.344031,1.498432,1.078332,X
63.0,0.15498,0.140576,0.228514,0.766134,-1.257711,-0.058835,0.55993,0.806748,0.282354,-0.223598,A
64.0,0.364825,-0.000745,-0.052442,1.293223,0.976743,-0.183409,-1.101088,0.220966,1.841428,0.64196,I
65.0,-0.215336,0.281897,0.107596,0.73922,0.082961,2.100457,0.824183,-1.529216,-1.557353,1.503456,E
66.0,0.142636,0.43107,0.032912,-0.486796,0.261718,-1.138481,-0.044076,-0.110241,0.781258,-0.894912,G
67.0,-0.178304,0.258344,-0.12357,0.228303,0.082961,0.024215,0.295677,0.313267,-0.060642,-0.022024,F
68.0,0.57467,0.085618,0.310311,-2.167514,0.261718,-1.30458,0.484429,-0.848842,0.999528,-1.28985,H
69.0,0.192011,-0.259834,0.402778,-0.06593,0.261718,-0.224934,0.257927,0.648396,0.157628,-0.225238,A
70.0,0.142636,0.486028,0.025799,0.545422,0.17234,-0.889332,-0.044076,-0.632399,-1.49499,-0.668637,A
71.0,-0.277055,0.038511,0.42056,3.987152,0.17234,0.605563,0.710932,0.183844,0.438262,0.255557,X
72.0,-2.47426,0.171981,-0.12357,-2.9863,-3.313408,-1.138481,-11.935457,2.052266,-3.927145,-6.719324,F
73.0,0.229043,-0.008597,0.175168,0.087408,0.17234,-0.557133,0.144676,-0.190369,-0.247731,-0.461518,A
74.0,0.278418,-0.197025,0.239183,-0.73839,0.261718,-0.266459,-0.081827,-0.481949,0.032902,-0.070172,F
75.0,0.47592,-0.283388,0.107596,0.080127,0.976743,-0.930856,-1.403091,0.079447,1.654339,0.067148,I
76.0,0.204355,0.038511,0.036468,0.655644,0.17234,0.730137,0.182426,0.768403,0.095265,0.702248,A
77.0,-0.672058,-0.613138,0.360101,0.373406,0.17234,-0.141884,0.106925,0.310218,0.905984,-0.067026,E
78.0,0.117948,-0.29909,0.473906,-0.204438,0.082961,-0.307984,0.257927,0.186057,0.500624,-0.296748,A
79.0,-0.030178,-0.063555,0.285416,-1.278877,0.17234,-0.515608,0.182426,-0.729904,-1.49499,-0.446967,F
80.0,0.019197,-0.087108,0.292529,0.240776,0.17234,0.314889,0.446679,0.32012,0.18881,0.160864,A
81.0,0.266074,0.415367,0.089814,-0.68501,0.261718,-1.055431,0.446679,0.751259,0.469443,-1.059344,G
82.0,0.401857,-0.220579,-3.210528,-1.185513,-1.168333,-0.474083,0.182426,-0.458534,-0.403638,-0.416335,A
83.0,-0.264711,-0.275537,0.384996,1.343918,0.261718,0.647088,0.295677,-0.59918,-1.432627,0.531825,A
84.0,-0.030178,-0.220579,0.242739,1.988271,0.17234,0.771662,-0.42158,1.598023,0.812439,1.108446,A
85.0,0.080916,0.014957,0.064919,0.346104,0.17234,0.273364,0.295677,0.149925,0.032902,0.229144,A
86.0,0.241386,-0.322644,0.28186,0.274612,0.261718,0.273364,0.144676,-0.29463,-0.43482,0.287721,F
87.0,0.278418,0.069915,0.214288,-2.283942,0.082961,-1.180006,0.220177,-1.999574,-0.996086,-1.065179,A
88.0,0.056229,-0.016448,0.345875,-0.053786,0.17234,-0.557133,0.182426,0.004212,0.344717,-0.489571,A
89.0,0.142636,-0.377602,0.328093,-0.039583,0.261718,0.06574,0.371178,0.233625,-0.247731,-0.025918,F
90.0,0.340137,0.399665,0.207175,-0.724993,0.261718,-0.972381,-0.119577,0.085912,0.18881,-0.705912,A
91.0,0.006853,0.077766,0.342319,-0.12859,0.261718,-1.013906,0.257927,0.864936,0.032902,-0.930414,F
92.0,-0.16596,-0.267686,0.256965,0.051662,0.261718,2.017408,0.182426,-1.185098,-0.341275,1.854936,A
93.0,0.204355,-0.126364,0.335206,0.483538,-1.257711,0.14879,0.220177,1.271786,-0.091823,0.130787,F
94.0,0.117948,0.069915,0.338762,-1.296004,0.261718,-1.013906,0.069175,-0.266613,0.687713,-0.840399,H
95.0,0.15498,-0.471816,0.50947,1.205082,0.261718,0.231839,0.371178,1.035132,0.687713,0.130365,A
96.0,0.15498,-0.322644,0.175168,0.126526,0.17234,0.813187,0.597681,-0.364797,-0.123005,0.505605,A
97.0,0.377169,0.022808,0.139604,1.070691,0.976743,0.107265,-0.572582,0.948733,1.591976,0.589991,I
98.0,-0.190648,-1.09206,0.402778,0.749425,0.17234,0.564038,0.748682,0.270669,0.282354,0.215944,D
99.0,-3.412392,0.148427,0.438342,-1.047781,-3.22403,-0.930856,0.144676,2.442419,-0.497183,-0.795674,E
100.0,-0.363462,-0.189174,0.641057,0.681245,0.17234,0.190314,-0.006326,1.960256,1.124254,0.300113,C
101.0,-0.338774,-0.291239,0.520139,1.054429,0.261718,-1.885928,1.654692,-3.861861,-3.490604,-2.232139,E
102.0,0.105604,-0.251983,0.466793,0.287084,0.261718,0.231839,0.069175,0.141052,-0.091823,0.307624,A
103.0,-0.351118,-0.244132,0.594823,1.592678,0.797987,-0.349509,-3.366113,1.464736,2.402694,-1.425181,X
104.0,-0.054866,-0.330495,-3.210528,-0.267456,0.261718,-0.224934,-0.119577,0.750871,0.344717,-0.005219,F
105.0,0.031541,-2.426761,0.37077,0.77977,0.17234,0.937762,0.408929,-0.501889,-0.123005,0.734327,A
106.0,0.019197,-0.087108,0.292529,0.240776,0.17234,1.809783,-0.157328,-1.254935,-0.777816,1.897767,A
107.0,-0.215336,-0.204876,0.456124,-0.099826,0.17234,-0.10036,0.333428,-0.466029,0.18881,-0.145155,E
108.0,-0.412837,-0.707352,0.356544,1.604166,-0.989576,0.854712,-0.308329,0.343186,0.62535,1.098838,E
109.0,0.130292,0.077766,-0.045329,0.285383,-0.095795,0.771662,0.371178,0.217141,0.282354,0.598876,A
110.0,0.043885,0.030659,0.537921,-2.244735,0.261718,-0.681707,0.220177,-2.8184,-1.837986,-0.624551,E
111.0,-0.091897,-0.220579,0.274747,0.567174,-0.185173,1.186911,0.597681,-0.154489,-0.310094,0.832854,A
112.0,0.043885,0.69801,0.022242,0.912997,0.261718,0.522513,0.257927,0.512993,-0.310094,0.448162,F
113.0,-0.017834,0.336855,0.235627,-0.511144,-0.81082,-0.01731,0.333428,-0.283388,0.469443,-0.073873,G
114.0,-2.573011,0.069915,0.246296,-3.018853,0.082961,-2.550325,0.220177,0.648241,-3.334697,-2.295332,H
115.0,0.068573,-0.204876,0.424116,1.412158,0.261718,1.062336,0.635431,0.455621,0.469443,0.704804,A
116.0,-0.22768,0.250492,0.207175,-0.481276,0.261718,-0.598658,-0.044076,-0.03192,0.469443,-0.381291,E
117.0,0.105604,0.203385,-0.023991,0.995678,0.261718,0.937762,-0.006326,-0.022231,-0.372457,0.986809,A
118.0,0.006853,0.077766,0.342319,-0.12859,0.261718,-0.224934,-0.232828,-0.052558,-0.060642,0.048776,F
119.0,0.031541,-0.040001,0.175168,-0.107256,0.261718,1.103861,0.710932,-1.184457,-0.341275,0.731072,F
120.0,0.142636,0.470326,-2.958023,-0.379737,0.261718,1.35301,0.144676,-0.203513,0.157628,1.279062,A
121.0,-3.498799,-0.369751,0.552147,0.331573,-4.922215,0.231839,0.408929,0.160837,-0.154186,0.09303,E
122.0,-0.054866,-0.024299,0.079145,0.136282,0.261718,0.480988,0.408929,-0.363574,-0.466001,0.324115,F
123.0,-0.338774,-0.22843,0.584154,2.123586,0.261718,0.356414,-1.403091,1.828309,2.277968,1.376033,X
124.0,0.759828,-0.134216,0.114709,-0.542563,0.797987,-1.263055,-1.403091,-0.295872,-0.65309,-0.276797,I
125.0,0.364825,-0.149918,0.107596,-1.108143,0.17234,0.301048,0.84935,0.444496,0.500624,-0.063819,A
126.0,0.142636,0.470326,-2.958023,-0.379737,0.261718,1.062336,0.333428,-0.092884,0.282354,0.885679,A
127.0,-0.22768,-0.997846,0.356544,-0.026932,0.261718,2.100457,0.295677,-1.325413,-1.120812,1.84352,D
128.0,-3.498799,-0.087108,0.438342,-1.227108,-4.922215,-0.515608,0.52218,-0.173885,0.064084,-0.614606,C
129.0,0.15498,-0.236281,0.01513,0.558909,0.17234,2.598755,1.050686,-1.148189,-0.87136,1.777963,A
130.0,0.15498,-0.322644,0.175168,0.126526,0.17234,0.771662,0.295677,-0.5095,-0.310094,0.645685,A
131.0,-0.00549,-0.071406,0.352988,-0.206676,0.261718,0.564038,0.295677,-1.061422,0.251173,0.460844,H
132.0,0.043885,-0.157769,0.228514,-0.211361,0.261718,-0.515608,0.52218,-0.173749,0.313536,-0.616872,F
133.0,0.907954,1.467426,0.37077,-1.242027,0.708609,-1.263055,-1.365341,-0.570755,0.687713,-0.290672,I
134.0,-0.202992,-0.000745,-3.210528,-0.527256,0.082961,-0.474083,0.333428,0.430439,0.531806,-0.483,D
135.0,-3.498799,0.745117,0.150273,0.685183,-4.922215,-0.640182,0.55993,0.790148,-2.399252,-0.743162,A
136.0,0.25373,0.336855,0.086258,-0.979571,0.261718,-1.013906,-0.006326,-0.506684,0.375899,-0.800448,G
137.0,-0.314087,-0.063555,0.42056,0.003921,0.17234,-0.183409,-0.195078,0.270864,0.438262,0.05772,D
138.0,-0.252367,-0.401156,0.466793,0.631147,0.261718,0.522513,-0.044076,0.067759,0.62535,0.628266,E
139.0,0.278418,0.069915,0.214288,-2.283942,0.082961,-0.806282,0.484429,-2.446575,-1.276719,-0.852104,A
140.0,0.068573,0.148427,0.111153,0.179577,0.261718,0.190314,0.106925,-0.922097,-0.902542,0.234075,A
141.0,0.377169,0.014957,0.381439,0.292753,0.261718,-1.595254,-0.081827,0.041723,-0.091823,-1.30686,H
142.0,-0.178304,-0.189174,0.264078,-0.640492,0.17234,1.851308,0.295677,-3.071363,-2.368071,1.615087,A
143.0,0.266074,0.164129,0.118265,0.320234,0.261718,-0.01731,0.069175,-0.920408,-0.715453,0.078106,A
144.0,0.006853,-0.267686,0.40989,0.565443,0.17234,-0.224934,0.446679,0.152857,-0.123005,-0.324222,F
145.0,-0.252367,0.093469,0.239183,-0.021441,0.17234,0.730137,-0.044076,-1.103417,-0.559546,0.829756,A
146.0,0.167323,0.690159,-0.08445,-0.009059,0.261718,0.14879,0.446679,-0.217764,0.032902,0.011007,F
147.0,0.57467,0.085618,0.310311,-2.167514,0.261718,-0.598658,0.144676,-0.876296,0.937165,-0.496019,H
148.0,0.759828,-0.134216,0.114709,-0.542563,0.797987,-0.847807,-1.214339,-0.72006,1.779065,0.047667,I
149.0,0.179667,-0.212727,0.132491,-1.306507,0.261718,0.024215,-0.081827,0.651755,0.438262,0.18483,A
150.0,0.068573,-0.189174,-2.090261,-0.633539,0.17234,-0.183409,0.182426,1.132189,0.812439,-0.145348,E
151.0,1.37702,-0.063555,0.349432,0.40572,0.17234,-0.598658,-0.044076,-0.808847,-1.027268,-0.390803,A
152.0,-0.264711,0.156278,0.402778,1.483948,0.17234,0.231839,0.106925,0.121074,0.219991,0.300861,X
153.0,0.364825,-0.149918,0.107596,-1.108143,0.17234,0.273364,0.446679,-0.595258,-0.278912,0.107388,A
154.0,-0.32643,0.321153,0.285416,-1.944952,-0.900198,1.477585,0.408929,-2.852182,-4.394866,1.209335,D
155.0,-0.215336,-0.204876,0.456124,-0.099826,0.17234,-1.22153,-0.34608,0.182368,0.095265,-0.830152,E
156.0,0.117948,0.242641,0.082701,-0.424583,-0.900198,1.145386,0.295677,-1.025406,0.157628,0.983422,G
157.0,0.192011,0.242641,0.164499,0.576722,0.261718,-0.058835,0.371178,0.677208,0.095265,-0.137428,A
158.0,0.512951,-0.306942,0.061363,1.371548,0.976743,-0.391033,-0.761334,1.15706,2.090879,0.219983,I
159.0,-0.178304,-0.620989,0.32098,0.699028,0.261718,-0.764757,0.824183,0.432769,0.438262,-0.969244,E
160.0,0.15498,-0.040001,0.363657,1.200934,0.261718,0.564038,0.144676,0.931939,0.62535,0.572511,A
161.0,0.31545,-0.330495,0.555703,-0.374098,0.708609,-1.512204,-1.025587,0.019551,0.999528,-0.742125,Y
162.0,-0.00549,-0.259834,0.367214,-0.156667,0.261718,1.228436,-0.195078,-0.787626,-0.247731,1.383677,F
163.0,-3.498799,0.43107,0.466793,0.713201,-4.922215,-0.557133,0.52218,0.069235,-2.087438,-0.653218,A
164.0,-0.030178,0.022808,0.157386,-0.771451,0.261718,0.605563,0.182426,-1.81839,-0.278912,0.575658,H
165.0,-0.079554,-0.291239,0.388552,0.855618,0.261718,2.183507,0.257927,0.551513,-0.216549,1.923192,F
166.0,0.179667,-0.330495,0.530808,-0.314183,0.082961,-0.557133,0.446679,-1.23218,-1.120812,-0.600876,A
167.0,0.31545,-0.047852,0.14316,-0.574788,0.261718,0.771662,0.295677,-0.58852,0.001721,0.650568,A
168.0,-0.153617,-0.22843,0.488131,0.580183,0.261718,0.771662,0.220177,0.556814,0.001721,0.698125,A
169.0,0.303106,-0.354049,0.306755,-0.918463,0.17234,-1.096956,-0.232828,-0.739845,-0.43482,-0.759231,F
170.0,0.043885,0.069915,0.285416,0.372779,0.261718,-0.557133,0.446679,0.297793,0.438262,-0.618247,H
171.0,0.019197,0.093469,0.473906,1.897295,0.17234,0.896237,0.144676,0.773761,2.277968,0.867379,X
172.0,0.179667,2.660806,0.096927,-1.474226,-0.006417,-0.391033,0.484429,0.531224,0.438262,-0.484724,G
173.0,-0.030178,0.014957,0.264078,0.374062,0.261718,-0.474083,0.446679,0.597994,0.126447,-0.542082,A
174.0,0.019197,-0.283388,0.214288,0.857677,0.261718,-0.432558,-0.34608,0.070128,-0.684271,-0.102456,A
175.0,0.241386,-0.43256,0.349432,-1.029281,0.261718,-0.847807,0.295677,-0.67921,0.001721,-0.801593,F
176.0,0.142636,-0.244132,-3.206971,0.165524,0.887365,-0.764757,-1.440842,0.917416,-0.278912,0.263236,I
177.0,0.340137,-0.29909,0.719297,-0.434818,0.17234,0.854712,0.446679,-0.715789,-0.403638,0.628399,D
178.0,0.241386,-0.126364,0.417003,0.096091,0.17234,-2.135077,-2.346852,0.261253,-0.559546,-2.163618,A
179.0,-0.042522,0.007106,0.264078,-0.162546,0.17234,-0.349509,-0.044076,0.298298,0.562987,-0.170495,E
180.0,-0.042522,0.752968,-0.109344,1.041241,-1.347089,0.190314,0.899684,0.687576,-0.060642,-0.195377,F
181.0,0.142636,0.069915,0.399221,0.568039,-1.168333,0.190314,0.144676,-0.184777,-0.466001,0.239187,A
182.0,-0.252367,0.062064,0.171611,-0.420108,0.261718,-1.346105,0.106925,0.529982,1.280161,-1.164139,E
183.0,0.364825,0.289748,0.235627,-0.32379,0.17234,-0.847807,0.597681,-1.05053,-0.902542,-0.948087,A
184.0,0.4142,-0.471816,0.239183,1.018385,0.887365,0.522513,-1.101088,0.778111,0.999528,1.401639,I
185.0,0.229043,-0.008597,0.175168,0.087408,0.17234,0.688613,0.899684,0.202987,0.375899,0.230109,A
186.0,0.266074,0.580242,0.114709,-0.165469,0.261718,0.522513,0.710932,-0.27968,0.126447,0.191834,A
187.0,0.043885,-0.157769,0.328093,0.552225,0.261718,0.231839,-0.459331,0.633311,0.251173,0.623854,A
188.0,-0.277055,0.038511,0.42056,3.987152,0.17234,0.647088,0.295677,0.825348,0.313536,0.549763,X
189.0,0.216699,0.2976,0.249852,-0.041313,0.261718,-1.013906,0.031425,-0.069042,-0.372457,-0.818519,A
190.0,-0.178304,0.902141,-0.041773,0.593103,0.261718,0.605563,0.144676,0.034811,-0.154186,0.598924,F
191.0,0.599358,-2.426761,0.011573,0.54026,0.976743,-0.764757,-1.32759,0.425992,1.716702,0.20313,I
192.0,-0.363462,0.23479,0.000904,0.759778,0.261718,1.768258,0.144676,-1.002632,-0.247731,1.655194,G
193.0,0.25373,-0.197025,0.260522,0.326888,0.261718,-0.224934,-0.006326,0.902311,0.157628,-0.077104,F
194.0,-0.672058,0.069915,0.395665,1.103662,0.261718,-0.515608,0.144676,1.619632,1.654339,-0.401242,E
195.0,-3.498799,-0.03215,-2.481465,-0.333876,-4.922215,1.519109,0.295677,-0.320102,-0.372457,1.317433,A
196.0,0.192011,0.085618,0.278304,-1.347355,0.261718,-0.847807,0.144676,0.54965,0.032902,-0.730841,F
197.0,0.09326,0.344707,0.14316,-0.026574,0.261718,-0.681707,0.144676,0.353398,0.375899,-0.577777,G
198.0,-0.240024,-0.424709,0.089814,1.094532,0.261718,0.314889,-0.195078,1.032181,0.656532,0.539999,A
199.0,-3.498799,-0.110662,7.419561,2.021451,-4.922215,-0.889332,-1.478592,1.647164,0.968347,0.163299,I
200.0,-0.116585,0.281897,0.335206,-0.518215,0.082961,-2.467276,0.220177,0.018482,1.716702,-2.204834,D
201.0,-0.202992,-0.016448,0.594823,-1.581822,-0.363929,-0.10036,-0.38383,-0.222229,0.282354,0.255015,E
202.0,0.006853,0.407516,0.274747,-0.083803,0.261718,-1.013906,0.333428,0.47358,0.282354,-0.9667,H
203.0,0.278418,-0.3619,0.502357,-1.588745,0.261718,-0.764757,0.144676,-1.777598,-0.715453,-0.640765,F
204.0,0.241386,0.203385,0.125378,-1.422726,-1.347089,0.356414,0.069175,1.078874,0.001721,0.403932,F
205.0,0.216699,-0.291239,0.349432,0.50711,0.261718,-0.01731,0.371178,-0.185088,-0.403638,-0.099382,A
206.0,-0.301743,-0.055704,0.210732,-0.147477,0.261718,-0.183409,0.446679,-0.59252,0.344717,-0.271011,E
207.0,0.47592,-0.43256,0.114709,-0.87096,0.976743,-1.470679,-1.063338,0.117074,1.46725,-0.632231,I
208.0,0.364825,0.289748,0.235627,-0.32379,0.17234,-0.806282,1.654692,-2.860997,-1.49499,-1.361494,A
209.0,-0.116585,0.423218,0.086258,1.919136,0.261718,0.854712,0.182426,1.30056,0.095265,0.795169,G
210.0,-0.16596,-0.267686,0.256965,0.051662,0.261718,0.06574,0.597681,0.350195,-0.060642,-0.150218,A
211.0,0.327793,0.179832,0.157386,-0.508846,0.17234,1.394535,0.295677,-0.084361,0.282354,1.215459,A
212.0,0.241386,-0.43256,0.349432,-1.029281,0.261718,0.14879,0.333428,-1.175215,-0.43482,0.081903,F
213.0,0.389513,0.556689,0.431229,-1.955514,0.082961,-1.055431,0.106925,-2.471136,-1.837986,-0.893803,A
214.0,-0.190648,-0.063555,0.441898,1.289493,0.261718,0.896237,0.333428,-0.158508,-0.310094,0.738944,E
215.0,0.426544,7.293004,0.19295,-1.533156,-0.989576,-0.349509,0.408929,0.145246,0.219991,-0.427667,A
216.0,0.25373,-0.338346,0.352988,-1.154243,0.17234,-0.141884,0.446679,0.017531,0.001721,-0.250722,F
217.0,0.080916,0.077766,0.050694,0.857319,-1.257711,1.26996,0.446679,1.123763,0.531806,1.029135,A
218.0,-0.301743,0.171981,0.285416,0.684706,0.17234,2.058932,0.748682,1.894535,2.215605,1.509352,X
219.0,-0.202992,-0.000745,-3.210528,-0.527256,0.082961,-0.432558,0.786433,0.66255,0.781258,-0.669433,D
220.0,-0.091897,0.344707,0.182281,0.722749,0.261718,0.647088,0.371178,1.043752,1.24898,0.507474,H
221.0,-3.498799,0.391814,0.374326,-5.440122,0.261718,0.522513,1.503691,-1.879238,-0.746634,-0.217679,A
222.0,-3.498799,-0.550328,0.050694,-0.629422,-4.922215,0.14879,-2.799857,0.386813,0.344717,-1.299518,A
223.0,1.21655,0.156278,-0.013322,0.353593,0.17234,1.768258,0.635431,-1.022319,-1.151994,1.317289,A
224.0,0.15498,-0.330495,0.299642,-0.333637,0.082961,-0.474083,-0.157328,-0.680647,-0.87136,-0.181103,F
225.0,0.080916,0.062064,0.203619,0.577021,0.261718,-1.096956,0.333428,1.109298,0.531806,-1.041189,H
226.0,-0.190648,-0.063555,0.441898,1.289493,0.261718,0.231839,-0.119577,1.116909,0.750076,0.406355,E
227.0,0.290762,-0.267686,0.324537,-0.396177,-1.078955,-0.723232,0.182426,-0.201339,0.313536,-0.629844,A
228.0,-0.338774,-0.197025,0.530808,1.146271,0.708609,1.020811,-0.195078,-0.128084,0.313536,1.21441,Y
